Project,Bug ID,tarantula_rank,tarantula_exam,tarantula_top_1,tarantula_top_3,tarantula_top_5,ochiai_rank,ochiai_exam,ochiai_top_1,ochiai_top_3,ochiai_top_5,dstar_rank,dstar_exam,dstar_top_1,dstar_top_3,dstar_top_5,tarantula_gc_rank,tarantula_gc_exam,tarantula_gc_top_1,tarantula_gc_top_3,tarantula_gc_top_5,ochiai_gc_rank,ochiai_gc_exam,ochiai_gc_top_1,ochiai_gc_top_3,ochiai_gc_top_5,dstar_gc_rank,dstar_gc_exam,dstar_gc_top_1,dstar_gc_top_3,dstar_gc_top_5,tarantula_rank_imp_pct,tarantula_exam_imp_pct,ochiai_rank_imp_pct,ochiai_exam_imp_pct,dstar_rank_imp_pct,dstar_exam_imp_pct
Time,18,2,0.0027,False,True,True,2,0.0027,False,True,True,2,0.0027,False,True,True,180,0.2387,False,False,False,192,0.2546,False,False,False,176,0.2334,False,False,False,-8900.0,-8740.74,-9500.0,-9329.63,-8700.0,-8544.44
Collections,13,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,1,0.0278,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
JacksonCore,21,66,0.5414,False,False,False,66,0.5414,False,False,False,66,0.5414,False,False,False,66,0.5497,False,False,False,99,0.6768,False,False,False,66,0.5552,False,False,False,0.0,-1.53,-50.0,-25.01,0.0,-2.55
Compress,19,1,0.0071,True,True,True,1,0.0071,True,True,True,1,0.0071,True,True,True,2,0.0095,False,True,True,1,0.0048,True,True,True,1,0.0048,True,True,True,-100.0,-33.8,0.0,32.39,0.0,32.39
Cli,37,4,0.0703,False,False,True,4,0.0703,False,False,True,4,0.0703,False,False,True,13,0.2031,False,False,False,7,0.1094,False,False,False,5,0.0781,False,False,True,-225.0,-188.9,-75.0,-55.62,-25.0,-11.1
Math,85,13,0.2717,False,False,False,13,0.2717,False,False,False,13,0.2717,False,False,False,8,0.1739,False,False,False,16,0.3478,False,False,False,17,0.3696,False,False,False,38.46,36.0,-23.08,-28.01,-30.77,-36.03
Math,95,3,0.0556,False,True,True,3,0.0556,False,True,True,3,0.0556,False,True,True,1,0.0278,True,True,True,3,0.0833,False,True,True,3,0.0833,False,True,True,66.67,50.0,0.0,-49.82,0.0,-49.82
Codec,9,5,0.1111,False,False,True,5,0.1111,False,False,True,5,0.1111,False,False,True,12,0.2667,False,False,False,12,0.2667,False,False,False,12,0.2667,False,False,False,-140.0,-140.05,-140.0,-140.05,-140.0,-140.05
Jsoup,55,9,0.0228,False,False,False,9,0.0228,False,False,False,9,0.0228,False,False,False,78,0.2091,False,False,False,88,0.2359,False,False,False,83,0.2225,False,False,False,-766.67,-817.11,-877.78,-934.65,-822.22,-875.88
Lang,40,1,0.0526,True,True,True,1,0.0526,True,True,True,1,0.0526,True,True,True,1,0.0526,True,True,True,1,0.0526,True,True,True,1,0.0526,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Jsoup,45,32,0.0491,False,False,False,32,0.0491,False,False,False,32,0.0491,False,False,False,45,0.069,False,False,False,49,0.0752,False,False,False,41,0.0629,False,False,False,-40.62,-40.53,-53.12,-53.16,-28.12,-28.11
JacksonCore,15,7,0.0331,False,False,False,7,0.0331,False,False,False,18,0.0939,False,False,False,4,0.0221,False,False,True,159,0.8785,False,False,False,159,0.8785,False,False,False,42.86,33.23,-2171.43,-2554.08,-783.33,-835.57
Chart,3,1,0.0081,True,True,True,1,0.0081,True,True,True,1,0.0081,True,True,True,1,0.0081,True,True,True,1,0.0081,True,True,True,1,0.0081,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Mockito,18,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,1,0.0041,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Jsoup,13,117,0.5292,False,False,False,117,0.5292,False,False,False,117,0.5292,False,False,False,188,0.4449,False,False,False,301,0.9989,False,False,False,293,0.6501,False,False,False,-60.68,15.93,-157.26,-88.76,-150.43,-22.85
Jsoup,5,21,0.0964,False,False,False,63,0.2848,False,False,False,64,0.2892,False,False,False,12,0.0583,False,False,False,77,0.3453,False,False,False,120,0.5381,False,False,False,42.86,39.52,-22.22,-21.24,-87.5,-86.07
Jsoup,61,1,0.0018,True,True,True,1,0.0018,True,True,True,1,0.0018,True,True,True,1,0.0018,True,True,True,1,0.0018,True,True,True,1,0.0018,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Csv,15,4,0.0325,False,False,True,4,0.0325,False,False,True,4,0.0325,False,False,True,35,0.2846,False,False,False,35,0.2846,False,False,False,35,0.2846,False,False,False,-775.0,-775.69,-775.0,-775.69,-775.0,-775.69
Jsoup,85,2,0.0328,False,True,True,2,0.0328,False,True,True,2,0.0328,False,True,True,2,0.0328,False,True,True,2,0.0328,False,True,True,2,0.0328,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0
JacksonCore,5,4,0.4444,False,False,True,4,0.4444,False,False,True,4,0.4444,False,False,True,3,0.3333,False,True,True,3,0.2778,False,True,True,3,0.3333,False,True,True,25.0,25.0,25.0,37.49,25.0,25.0
JacksonDatabind,1,6,0.0123,False,False,False,564,0.8681,False,False,False,612,0.9417,False,False,False,237,0.3635,False,False,False,585,0.8972,False,False,False,631,0.9678,False,False,False,-3850.0,-2855.28,-3.72,-3.35,-3.1,-2.77
Codec,18,2,0.1053,False,True,True,2,0.1053,False,True,True,2,0.1053,False,True,True,2,0.1053,False,True,True,2,0.1053,False,True,True,2,0.0789,False,True,True,0.0,0.0,0.0,0.0,0.0,25.07
Compress,12,5,0.097,False,False,True,5,0.097,False,False,True,5,0.097,False,False,True,20,0.2985,False,False,False,20,0.2985,False,False,False,20,0.2985,False,False,False,-300.0,-207.73,-300.0,-207.73,-300.0,-207.73
Codec,2,6,0.3333,False,False,False,6,0.3333,False,False,False,6,0.3333,False,False,False,12,0.6667,False,False,False,12,0.6667,False,False,False,12,0.6667,False,False,False,-100.0,-100.03,-100.0,-100.03,-100.0,-100.03
Gson,12,4,0.129,False,False,True,2,0.0645,False,True,True,2,0.0645,False,True,True,3,0.0968,False,True,True,3,0.0806,False,True,True,2,0.0645,False,True,True,25.0,24.96,-50.0,-24.96,0.0,0.0
Jsoup,78,49,0.0852,False,False,False,49,0.0852,False,False,False,49,0.0852,False,False,False,63,0.1096,False,False,False,150,0.2609,False,False,False,156,0.2713,False,False,False,-28.57,-28.64,-206.12,-206.22,-218.37,-218.43
Jsoup,68,20,0.0253,False,False,False,20,0.0253,False,False,False,20,0.0253,False,False,False,107,0.1425,False,False,False,107,0.1425,False,False,False,107,0.1425,False,False,False,-435.0,-463.24,-435.0,-463.24,-435.0,-463.24
Compress,34,1,0.0136,True,True,True,1,0.0136,True,True,True,1,0.0136,True,True,True,2,0.0182,False,True,True,2,0.0182,False,True,True,5,0.0455,False,False,True,-100.0,-33.82,-100.0,-33.82,-400.0,-234.56
Compress,24,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,2,0.08,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Compress,46,3,0.0086,False,True,True,3,0.0086,False,True,True,3,0.0086,False,True,True,3,0.0129,False,True,True,3,0.0129,False,True,True,3,0.0129,False,True,True,0.0,-50.0,0.0,-50.0,0.0,-50.0
JxPath,15,208,0.5588,False,False,False,208,0.5588,False,False,False,208,0.5588,False,False,False,387,0.6863,False,False,False,323,0.4692,False,False,False,183,0.3333,False,False,False,-86.06,-22.82,-55.29,16.03,12.02,40.35
Math,73,1,0.0323,True,True,True,1,0.0323,True,True,True,1,0.0323,True,True,True,1,0.0323,True,True,True,1,0.0323,True,True,True,1,0.0323,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Time,25,95,0.1459,False,False,False,71,0.1091,False,False,False,71,0.1091,False,False,False,413,0.6344,False,False,False,412,0.6329,False,False,False,410,0.6298,False,False,False,-334.74,-334.82,-480.28,-480.11,-477.46,-477.27
Math,63,1,0.0146,True,True,True,1,0.0146,True,True,True,1,0.0146,True,True,True,1,0.0146,True,True,True,1,0.0146,True,True,True,61,0.4757,False,False,False,0.0,0.0,0.0,0.0,-6000.0,-3158.22
Math,97,2,0.1111,False,True,True,2,0.1111,False,True,True,2,0.1111,False,True,True,5,0.3333,False,False,True,7,0.3889,False,False,False,7,0.3889,False,False,False,-150.0,-200.0,-250.0,-250.05,-250.0,-250.05
Csv,3,1,0.0118,True,True,True,1,0.0118,True,True,True,1,0.0118,True,True,True,1,0.0118,True,True,True,1,0.0118,True,True,True,1,0.0118,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Math,87,25,0.3397,False,False,False,25,0.3397,False,False,False,25,0.3397,False,False,False,7,0.0897,False,False,False,19,0.2436,False,False,False,59,0.7692,False,False,False,72.0,73.59,24.0,28.29,-136.0,-126.44
Cli,35,17,0.1441,False,False,False,17,0.1441,False,False,False,17,0.1441,False,False,False,24,0.2034,False,False,False,24,0.2034,False,False,False,22,0.1864,False,False,False,-41.18,-41.15,-41.18,-41.15,-29.41,-29.35
JacksonDatabind,8,398,0.3793,False,False,False,636,0.6064,False,False,False,627,0.5978,False,False,False,317,0.3025,False,False,False,530,0.5057,False,False,False,520,0.4962,False,False,False,20.35,20.25,16.67,16.61,17.07,17.0
Jsoup,47,24,0.0681,False,False,False,24,0.0681,False,False,False,24,0.0681,False,False,False,62,0.1722,False,False,False,195,0.5417,False,False,False,201,0.5583,False,False,False,-158.33,-152.86,-712.5,-695.45,-737.5,-719.82
Lang,42,16,0.2963,False,False,False,17,0.3148,False,False,False,17,0.3148,False,False,False,20,0.3704,False,False,False,23,0.4259,False,False,False,20,0.3704,False,False,False,-25.0,-25.01,-35.29,-35.29,-17.65,-17.66
Lang,52,16,0.3438,False,False,False,16,0.3438,False,False,False,17,0.3646,False,False,False,18,0.3854,False,False,False,19,0.3958,False,False,False,19,0.3958,False,False,False,-12.5,-12.1,-18.75,-15.13,-11.76,-8.56
Jsoup,57,1,0.0024,True,True,True,1,0.0024,True,True,True,1,0.0024,True,True,True,1,0.0016,True,True,True,1,0.0024,True,True,True,1,0.0016,True,True,True,0.0,33.33,0.0,0.0,0.0,33.33
Jsoup,35,128,0.2137,False,False,False,128,0.2137,False,False,False,128,0.2137,False,False,False,196,0.3272,False,False,False,196,0.3272,False,False,False,196,0.3272,False,False,False,-53.12,-53.11,-53.12,-53.11,-53.12,-53.11
JacksonCore,23,143,0.5469,False,False,False,143,0.5469,False,False,False,143,0.5469,False,False,False,143,0.55,False,False,False,77,0.3312,False,False,False,143,0.5563,False,False,False,0.0,-0.57,46.15,39.44,0.0,-1.72
Compress,25,28,0.1335,False,False,False,28,0.1335,False,False,False,28,0.1335,False,False,False,35,0.1699,False,False,False,52,0.2524,False,False,False,48,0.233,False,False,False,-25.0,-27.27,-85.71,-89.06,-71.43,-74.53
Jsoup,79,1,0.0025,True,True,True,1,0.0025,True,True,True,1,0.0025,True,True,True,1,0.0025,True,True,True,1,0.0025,True,True,True,1,0.0025,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Time,24,32,0.0417,False,False,False,8,0.0109,False,False,False,6,0.0083,False,False,False,561,0.7192,False,False,False,563,0.7218,False,False,False,566,0.7256,False,False,False,-1653.12,-1624.7,-6937.5,-6522.02,-9333.33,-8642.17
Math,72,6,0.1774,False,False,False,6,0.1774,False,False,False,6,0.1774,False,False,False,11,0.3548,False,False,False,11,0.3548,False,False,False,11,0.3548,False,False,False,-83.33,-100.0,-83.33,-100.0,-83.33,-100.0
JacksonDatabind,24,9,0.0096,False,False,False,694,0.7872,False,False,False,765,0.8678,False,False,False,12,0.0136,False,False,False,741,0.8411,False,False,False,405,0.4597,False,False,False,-33.33,-41.67,-6.77,-6.85,47.06,47.03
Collections,3,1,0.0091,True,True,True,3,0.0273,False,True,True,3,0.0273,False,True,True,1,0.0091,True,True,True,3,0.0273,False,True,True,3,0.0273,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Lang,53,2,0.069,False,True,True,2,0.069,False,True,True,2,0.069,False,True,True,9,0.3103,False,False,False,9,0.3103,False,False,False,9,0.3103,False,False,False,-350.0,-349.71,-350.0,-349.71,-350.0,-349.71
Lang,43,1,0.0385,True,True,True,1,0.0385,True,True,True,1,0.0385,True,True,True,1,0.0385,True,True,True,1,0.0385,True,True,True,1,0.0385,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Jsoup,46,82,0.1346,False,False,False,82,0.1346,False,False,False,82,0.1346,False,False,False,136,0.2219,False,False,False,184,0.3002,False,False,False,204,0.3328,False,False,False,-65.85,-64.86,-124.39,-123.03,-148.78,-147.25
JacksonDatabind,9,273,0.3872,False,False,False,613,0.8695,False,False,False,613,0.8695,False,False,False,624,0.8851,False,False,False,620,0.8794,False,False,False,384,0.5447,False,False,False,-128.57,-128.59,-1.14,-1.14,37.36,37.35
Codec,10,2,0.4,False,True,True,2,0.4,False,True,True,2,0.4,False,True,True,2,0.4,False,True,True,2,0.4,False,True,True,2,0.4,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Math,86,3,0.0972,False,True,True,2,0.0417,False,True,True,2,0.0417,False,True,True,2,0.0556,False,True,True,2,0.0556,False,True,True,2,0.0556,False,True,True,33.33,42.8,0.0,-33.33,0.0,-33.33
Math,96,3,0.0882,False,True,True,3,0.0882,False,True,True,3,0.0882,False,True,True,3,0.0882,False,True,True,3,0.0882,False,True,True,3,0.0882,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0
Jsoup,34,3,0.005,False,True,True,2,0.0033,False,True,True,2,0.0033,False,True,True,3,0.005,False,True,True,3,0.005,False,True,True,3,0.0042,False,True,True,0.0,0.0,-50.0,-51.52,-50.0,-27.27
