,project,bug_id,lambda_val,tarantula,ochiai,dstar,GraphCut_Score,GraphCut_Rank,tarantula_rank,ochiai_rank,dstar_rank,rank_gain_tarantula,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient,Num_Nodes,Num_Edges,Density,Is_DAG,Reciprocity,Num_SCC,Num_WCC,Degree_Assortativity,Largest_SCC_Avg_Path_Length,Largest_SCC_Diameter
76,Compress,25,0.1,0.9114173228346456,0.14744195615489714,0.022222222222222223,2.4247610839230447,26.0,27.5,27.5,27.5,1.5,1,2,0.004878048780487805,0.00975609756097561,0.0002152080344332855,0.007317073170731708,0.008887312351382843,0.0,206,301,0.007127634383139948,True,0.0,206,7,-0.0157252583684266,0.0,0
77,Compress,27,0.1,0.9139194139194139,0.14433756729740646,0.02127659574468085,2.355350300803119,2.0,2.0,2.0,2.0,0.0,1,1,0.041666666666666664,0.041666666666666664,0.0018115942028985507,0.041666666666666664,0.035376341499786995,0.0,25,18,0.03,True,0.0,25,7,-0.5477225575051662,0.0,0
78,Compress,28,0.1,0.9596928982725528,0.21320071635561041,0.047619047619047616,3.249357130414819,2.0,2.5,2.5,2.5,0.5,4,2,0.038461538461538464,0.019230769230769232,0.003547423450336072,0.06947115384615385,0.04096422715960667,0.0,105,131,0.011996336996336997,False,0.015267175572519083,101,4,-0.2497987549070867,1.75,3
79,Compress,29,0.1,0.3610747051114024,0.03162277660168379,0.015873015873015872,-0.4968627873628719,87.0,88.0,101.0,101.0,1.0,0,22,0.0,0.14102564102564102,0.0,0.0,0.003478684514566232,0.006493506493506494,157,206,0.008410909684795034,True,0.0,157,10,-0.2082697214416584,0.0,0
80,Compress,30,0.1,0.990066225165563,0.3779644730092272,0.16666666666666666,4.701845359786239,7.0,7.0,7.0,7.0,0.0,0,2,0.0,0.03076923076923077,0.0,0.0,0.008391129008488336,0.0,66,82,0.019114219114219115,False,0.0,66,2,-0.21511563641697604,0.0,0
81,Compress,31,0.1,0.9156441717791411,0.1873171623163388,0.07272727272727272,2.497271211809143,2.0,2.0,2.0,2.0,0.0,1,1,0.041666666666666664,0.041666666666666664,0.0018115942028985507,0.041666666666666664,0.035376341499786995,0.0,25,18,0.03,True,0.0,25,7,-0.5477225575051662,0.0,0
82,Compress,32,0.1,0.9758842443729904,0.25,0.06666666666666667,3.7071525325777355,7.0,6.5,6.5,6.5,-0.5,1,1,0.008695652173913044,0.008695652173913044,0.00030511060259344014,0.01391304347826087,0.005528960588494644,0.0,116,160,0.01199400299850075,False,0.025,111,4,-0.06870775973224033,1.75,3
83,Compress,33,0.1,0.9934533551554827,0.4472135954999579,0.25,5.461564044329051,5.0,9.0,9.0,9.0,4.0,0,14,0.0,0.19444444444444442,0.0,0.0,0.00819470029027241,0.0,73,81,0.015410958904109588,False,0.024691358024691357,72,7,-0.2586343119069991,1.0,1
84,Compress,34,0.1,1.0,1.0,inf,27.644524228488944,2.0,1.5,1.5,1.5,-0.5,0,1,0.0,0.009174311926605505,0.0,0.0,0.005605631324632628,0.0,110,144,0.01201000834028357,True,0.0,110,7,-0.18601407922159843,0.0,0
85,Compress,35,0.1,0.8478561549100969,0.0944911182523068,0.017857142857142856,1.7436573778694076,30.5,21.0,21.0,21.0,-9.5,1,0,0.0072992700729927005,0.0,0.0,0.0121654501216545,0.004529626978129192,0.0,138,164,0.008674494869353644,True,0.0,138,9,-0.3115095476006194,0.0,0
86,Compress,36,0.1,0.5505925250683682,0.04428074427700476,0.022222222222222223,0.07978362578944598,12.0,12.0,12.0,12.0,0.0,2,2,0.010309278350515464,0.010309278350515464,0.0006409914000320496,0.011597938144329897,0.0063432132357262305,0.0,195,278,0.007348665080623843,False,0.0,195,5,-0.17404932134942475,0.0,0
87,Compress,37,0.1,0.6179775280898876,0.05057217374241736,0.02631578947368421,0.5109260895624566,9.0,9.0,9.0,9.0,0.0,1,2,0.008403361344537815,0.01680672268907563,0.0008545791197835065,0.013445378151260505,0.00547171770457679,0.0,120,169,0.011834733893557423,False,0.023668639053254437,115,4,-0.10344973787955827,1.75,3
88,Compress,38,0.1,0.3613595706618962,0.03031695312954162,0.012658227848101266,-0.8172516152452225,41.0,36.0,36.0,36.0,-5.0,3,1,0.024793388429752067,0.008264462809917356,0.001584022038567493,0.07071869442410293,0.028146628468628636,0.08333333333333333,122,173,0.011719279230456578,False,0.023121387283236993,117,4,-0.08374340577140073,1.75,3
89,Compress,41,0.1,0.6031894934333959,0.06734350297014739,0.06349206349206349,-0.21477551822738405,94.0,70.0,65.0,64.0,-24.0,0,31,0.0,0.11481481481481481,0.0,0.0,0.002029309430452592,0.012903225806451613,271,416,0.005685390187235206,False,0.004807692307692308,270,8,-0.12588676730637752,1.0,1
90,Compress,42,0.1,0.9754335260115607,0.17149858514250882,0.058823529411764705,3.698229364697326,1.0,1.0,87.0,88.0,0.0,0,1,0.0,0.005649717514124294,0.0,0.0,0.0033302051922997422,0.0,178,250,0.007934996508601536,True,0.0,178,10,-0.2399026787191875,0.0,0
91,Compress,43,0.1,0.24021040327293977,0.019518001458970664,0.0078125,-1.7793786441678208,168.0,77.0,77.0,77.0,-91.0,1,15,0.004273504273504274,0.06410256410256411,0.0011371556435934116,0.007597340930674264,0.0025990470689062836,0.025,235,375,0.006819421713038734,True,0.0,235,13,-0.09731693928638761,0.0,0
92,Compress,45,0.1,0.4435817805383023,0.030151134457776358,0.014925373134328358,-0.16137449429619455,4.0,4.0,4.0,4.0,0.0,0,3,0.0,0.12,0.0,0.0,0.025708553301221137,0.0,26,19,0.02923076923076923,True,0.0,26,7,-0.475513254481889,0.0,0
93,Compress,46,0.1,0.9200426439232409,0.1,0.037037037037037035,2.442926577547116,3.0,2.0,2.0,2.0,-1.0,1,1,0.004310344827586207,0.004310344827586207,7.463800567248842e-05,0.009852216748768473,0.007217623845509831,0.0,233,356,0.006585762912535148,True,0.0,233,12,-0.16677418969959112,0.0,0
94,Compress,47,0.1,0.7963446475195822,0.060522753266880246,0.022727272727272728,1.3268532512316753,1.0,1.0,2.0,2.0,0.0,0,2,0.0,0.0060790273556231,0.0,0.0,0.0015516878361706,0.0,330,513,0.004725062171870682,False,0.003898635477582846,329,10,-0.0916473408283299,1.0,1
95,Compress,9,0.1,0.9646643109540635,0.30151134457776363,0.1,3.3425074209017134,4.0,3.5,3.5,3.5,-0.5,0,1,0.0,0.029411764705882353,0.0,0.0,0.015583129337545486,0.0,35,34,0.02857142857142857,True,0.0,35,4,-0.2780516695877185,0.0,0
96,Csv,1,0.1,0.6144578313253012,0.17407765595569785,0.03125,0.5948162210586574,20.0,25.5,25.5,25.5,5.5,5,0,0.08333333333333333,0.0,0.0,0.0872093023255814,0.030656974211682623,0.35,61,77,0.02103825136612022,False,0.0,61,5,-0.38287768397640537,0.0,0
97,Csv,10,0.1,0.8185840707964602,0.1543033499620919,0.024390243902439025,1.6545546163972489,8.0,8.0,8.0,8.0,0.0,1,2,0.010869565217391304,0.021739130434782608,0.00023889154323936931,0.010869565217391304,0.010856757984189544,0.0,93,115,0.013440860215053764,False,0.0,93,9,-0.21366692522079883,0.0,0
98,Csv,11,0.1,0.793388429752066,0.14002800840280097,0.02,1.501463207607955,10.0,9.5,9.5,9.5,-0.5,1,5,0.010309278350515464,0.05154639175257732,0.009342783505154639,0.018556701030927835,0.007558676160273135,0.0,98,115,0.01209762255417631,False,0.0,98,9,-0.24336719865896125,0.0,0
99,Csv,13,0.1,0.6792452830188679,0.09805806756909202,0.019230769230769232,0.7730261663550557,12.0,11.0,28.0,28.0,-1.0,1,5,0.009433962264150943,0.04716981132075471,0.005750224618149146,0.03018867924528302,0.020012248189242497,0.1,107,132,0.011638159054840416,False,0.0,107,9,-0.2662548005778682,0.0,0
100,Csv,14,0.1,0.8222996515679442,0.3244428422615251,0.7058823529411765,1.8651494554900943,2.0,2.0,2.0,2.0,0.0,1,4,0.008547008547008548,0.03418803418803419,0.0019157088122605363,0.026262626262626262,0.007403179392813271,0.15,118,146,0.010575112270027524,False,0.0,118,9,-0.2380418427396622,0.0,0
